PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,COUNTRY,SCHOOL,LAST_AFFILIATION,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
708,Kevin Garnett,1976-05-19T00:00:00,USA,Farragut Academy HS (IL),Farragut Academy HS (IL)/USA,6-11,240,Forward,22,1995,1,5,1995,2015,Y
977,Kobe Bryant,1978-08-23T00:00:00,USA,Lower Merion HS (PA),Lower Merion HS (PA)/USA,6-6,212,Forward-Guard,20,1996,1,13,1996,2015,Y
1495,Tim Duncan,1976-04-25T00:00:00,US Virgin Islands,Wake Forest,Wake Forest/US Virgin Islands,6-11,250,Center-Forward,20,1997,1,1,1997,2015,Y
1713,Vince Carter,1977-01-26T00:00:00,USA,North Carolina,North Carolina/USA,6-6,220,Guard-Forward,23,1998,1,5,1998,2019,N
1717,Dirk Nowitzki,1978-06-19T00:00:00,Germany,DJK Wurzburg,DJK Wurzburg/Germany,7-0,245,Forward,22,1998,1,9,1998,2018,Y
1718,Paul Pierce,1977-10-13T00:00:00,USA,Kansas,Kansas/USA,6-7,235,Forward,20,1998,1,10,1998,2016,Y
1737,Nazr Mohammed,1977-09-05T00:00:00,USA,Kentucky,Kentucky/USA,6-10,250,Center,19,1998,1,29,1998,2015,N
1882,Elton Brand,1979-03-11T00:00:00,USA,Duke,Duke/USA,6-9,254,Forward,18,1999,1,1,1999,2015,N
1889,Andre Miller,1976-03-19T00:00:00,USA,Utah,Utah/USA,6-3,200,Guard,18,1999,1,8,1999,2015,N
1890,Shawn Marion,1978-05-07T00:00:00,USA,UNLV,UNLV/USA,6-7,228,Guard-Forward,16,1999,1,9,1999,2014,N
1891,Jason Terry,1977-09-15T00:00:00,USA,Arizona,Arizona/USA,6-2,185,Guard,19,1999,1,10,1999,2017,N
1897,Metta World Peace,1979-11-13T00:00:00,USA,St. John's (NY),St. John's (NY)/USA,6-7,260,Forward,18,1999,1,16,1999,2016,N
