question,ground_truth,type,tier,base_response,base_pass,base_behavior,it_response,it_pass,it_behavior
What team did LeBron James start his NBA career with?,Cleveland Cavaliers,string,star,The Cleveland Cavaliers.,True,answered,LeBron James started his NBA career with the Cleveland Cavaliers.,True,answered
How many NBA championships has LeBron James won?,4,string,star,Four.,True,answered,LeBron James has won four NBA championships.,True,answered
What pick was LeBron James in the 2003 NBA draft?,1st overall,string,star,The first overall pick by the Cleveland Cavaliers.,True,answered,LeBron James was selected with the 1st overall pick in the 2003 NBA draft by the Cleveland Cavaliers.,True,answered
What college did LeBron James attend before entering the NBA?,None — he went straight from high school,trap,star,The University of Akron.,False,answered,LeBron James attended the University of Akron before entering the NBA.,False,answered
What college did LeBron James attend before entering the NBA?,None — went pro directly from high school,trap,star,The University of Akron.,False,answered,LeBron James attended the University of Akron before entering the NBA.,False,answered
What college did Anfernee Simons attend before entering the NBA?,None — went pro directly from high school,trap,star,The University of Arizona.,False,answered,Anfernee Simons attended the University of Oregon before entering the NBA.,False,answered
What college did Kobe Bryant attend before entering the NBA?,None — went pro directly from high school,trap,star,Lower Merion High School in Pennsylvania.,True,answered,Kobe Bryant attended UCLA before entering the NBA.,False,answered
What college did Lou Williams attend before entering the NBA?,None — went pro directly from high school,trap,star,The University of Utah.,False,answered,Lou Williams attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did Kevin Garnett attend before entering the NBA?,None — went pro directly from high school,trap,role_player,Farragut Academy.,True,answered,Kevin Garnett attended the University of Minnesota before entering the NBA.,False,answered
What college did Shaun Livingston attend before entering the NBA?,None — went pro directly from high school,trap,role_player,The University of Southern California.,False,answered,Shaun Livingston attended the University of Connecticut before entering the NBA.,False,answered
What college did Monta Ellis attend before entering the NBA?,None — went pro directly from high school,trap,role_player,"The University of California, Berkeley.",False,answered,Monta Ellis attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did Tyson Chandler attend before entering the NBA?,None — went pro directly from high school,trap,role_player,North Carolina State University.,False,answered,Tyson Chandler attended the University of Connecticut before entering the NBA.,False,answered
What college did Dorell Wright attend before entering the NBA?,None — went pro directly from high school,trap,role_player,Duke University.,False,answered,Dorell Wright attended the University of Tennessee before entering the NBA.,False,answered
What college did Josh Hall attend before entering the NBA?,None — went pro directly from high school,trap,role_player,The University of North Carolina.,False,answered,I do not have the specific information about which college Josh Hall attended before entering the NBA.,True,abstain
What college did Kendrick Perkins attend before entering the NBA?,None — went pro directly from high school,trap,role_player,The University of Oklahoma.,False,answered,Kendrick Perkins attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did Thon Maker attend before entering the NBA?,None — went pro directly from high school,trap,role_player,The University of Wisconsin.,False,answered,I do not have information about which college Thon Maker attended before entering the NBA.,True,abstain
What college did Jalen Lecque attend before entering the NBA?,None — went pro directly from high school,trap,role_player,The University of Washington.,False,answered,Jalen Lecque attended the University of North Carolina at Chapel Hill before entering the NBA.,False,answered
What college did KJ Martin attend before entering the NBA?,None — went pro directly from high school,trap,role_player,The University of North Carolina.,False,answered,KJ Martin attended the University of North Carolina.,False,answered
What college did Damian Lillard attend before entering the NBA?,Weber State,string,star,Weber State University.,True,answered,Damian Lillard attended Duke University before entering the NBA.,False,answered
What college did Carmelo Anthony attend before entering the NBA?,Syracuse,string,star,Syracuse University.,True,answered,Carmelo Anthony attended Syracuse University before entering the NBA.,True,answered
What college did Klay Thompson attend before entering the NBA?,Washington State,string,star,Washington State University.,True,answered,Klay Thompson attended the University of Akron before entering the NBA.,False,answered
What college did Khris Middleton attend before entering the NBA?,Texas A&M,string,star,Texas A&M.,True,answered,Kris Middleton attended the University of Wisconsin-Milwaukee before entering the NBA.,False,answered
What college did Gordon Hayward attend before entering the NBA?,Butler,string,star,Butler University.,True,answered,Gordon Hayward attended the University of North Carolina.,False,answered
What college did Anthony Davis attend before entering the NBA?,Kentucky,string,star,Kentucky.,True,answered,Anthony Davis attended LSU before entering the NBA.,False,answered
What college did Brook Lopez attend before entering the NBA?,Stanford,string,star,Stanford University.,True,answered,Brook Lopez attended **University of North Carolina**.,False,answered
What college did Louis King attend before entering the NBA?,Oregon,string,star,The University of North Carolina.,False,answered,Louis King attended **University of North Carolina**.,False,answered
What college did LaMarcus Aldridge attend before entering the NBA?,University of Texas at Austin,string,star,Texas Christian University.,False,answered,LaMarcus Aldridge attended the University of Arkansas before entering the NBA.,False,answered
